pass,total cost
0,1046.83
1,888.127
2,790.74
3,721.171
4,666.574
5,621.195
6,582.045
7,547.395
8,516.166
9,487.655
10,461.384
11,437.018
12,414.312
13,393.083
14,373.186
15,354.505
16,336.942
17,320.414
18,304.848
19,290.179
20,276.348
21,263.302
22,250.993
23,239.375
24,228.407
25,218.05
26,208.268
27,199.028
28,190.297
29,182.046
30,174.249
31,166.878
32,159.91
33,153.322
34,147.093
35,141.201
36,135.629
37,130.358
38,125.371
39,120.653
40,116.189
41,111.965
42,107.967
43,104.183
44,100.601
45,97.2104
46,94.0001
47,90.9603
48,88.0818
49,85.3557
50,82.7738
51,80.328
52,78.0111
53,75.816
54,73.7361
55,71.7651
56,69.8972
57,68.1267
58,66.4483
59,64.8572
60,63.3485
61,61.9178
62,60.561
63,59.274
64,58.0531
65,56.8947
66,55.7956
67,54.7524
68,53.7623
69,52.8223
70,51.9298
71,51.0823
72,50.2773
73,49.5126
74,48.7861
75,48.0957
76,47.4395
77,46.8157
78,46.2225
79,45.6584
80,45.1218
81,44.6113
82,44.1255
83,43.663
84,43.2228
85,42.8035
86,42.4041
87,42.0235
88,41.6609
89,41.3151
90,40.9854
91,40.671
92,40.371
93,40.0846
94,39.8112
95,39.5501
96,39.3007
97,39.0624
98,38.8346
99,38.6167
100,38.4082
101,38.2088
102,38.0178
103,37.835
104,37.6598
105,37.4919
106,37.3309
107,37.1765
108,37.0283
109,36.886
110,36.7494
111,36.6181
112,36.4919
113,36.3706
114,36.2538
115,36.1415
116,36.0332
117,35.929
118,35.8285
119,35.7316
120,35.638
121,35.5478
122,35.4606
123,35.3764
124,35.295
125,35.2162
126,35.14
127,35.0662
128,34.9948
129,34.9255
130,34.8583
131,34.7932
132,34.73
133,34.6686
134,34.609
135,34.551
136,34.4947
137,34.4398
138,34.3864
139,34.3345
140,34.2838
141,34.2345
142,34.1863
143,34.1394
144,34.0935
145,34.0488
146,34.0051
147,33.9623
148,33.9206
149,33.8797
150,33.8397
151,33.8006
152,33.7622
153,33.7247
154,33.6878
155,33.6517
156,33.6163
157,33.5816
158,33.5475
159,33.5141
160,33.4812
161,33.4489
162,33.4171
163,33.3859
164,33.3553
165,33.3251
166,33.2954
167,33.2661
168,33.2373
169,33.209
170,33.1811
171,33.1536
172,33.1264
173,33.0997
174,33.0734
175,33.0474
176,33.0217
177,32.9964
178,32.9715
179,32.9468
180,32.9225
181,32.8985
182,32.8747
183,32.8513
184,32.8281
185,32.8053
186,32.7826
187,32.7603
188,32.7382
189,32.7163
190,32.6947
191,32.6733
192,32.6522
193,32.6312
194,32.6105
195,32.59
196,32.5698
197,32.5497
198,32.5298
199,32.5101
200,32.4907
201,32.4714
202,32.4523
203,32.4333
204,32.4146
205,32.396
206,32.3776
207,32.3594
208,32.3413
209,32.3234
210,32.3056
211,32.288
212,32.2706
213,32.2533
214,32.2361
215,32.2191
216,32.2023
217,32.1855
218,32.169
219,32.1525
220,32.1362
221,32.12
222,32.104
223,32.088
224,32.0722
225,32.0566
226,32.041
227,32.0256
228,32.0102
229,31.995
230,31.98
231,31.965
232,31.9501
233,31.9354
234,31.9207
235,31.9062
236,31.8918
237,31.8774
238,31.8632
239,31.8491
240,31.835
241,31.8211
242,31.8073
243,31.7936
244,31.7799
245,31.7664
246,31.7529
247,31.7396
248,31.7263
249,31.7131
250,31.7
251,31.687
252,31.6741
253,31.6613
254,31.6485
255,31.6359
256,31.6233
257,31.6108
258,31.5983
259,31.586
260,31.5737
261,31.5615
262,31.5494
263,31.5374
264,31.5254
265,31.5135
266,31.5017
267,31.49
268,31.4783
269,31.4667
270,31.4552
271,31.4437
272,31.4324
273,31.421
274,31.4098
275,31.3986
276,31.3875
277,31.3764
278,31.3654
279,31.3545
280,31.3436
281,31.3328
282,31.3221
283,31.3114
284,31.3008
285,31.2903
286,31.2798
287,31.2693
288,31.259
289,31.2486
290,31.2384
291,31.2282
292,31.218
293,31.2079
294,31.1979
295,31.1879
296,31.178
297,31.1681
298,31.1583
299,31.1486
300,31.1388
301,31.1292
302,31.1196
303,31.11
304,31.1005
305,31.0911
306,31.0816
307,31.0723
308,31.063
309,31.0537
310,31.0445
311,31.0353
312,31.0262
313,31.0172
314,31.0081
315,30.9992
316,30.9902
317,30.9813
318,30.9725
319,30.9637
320,30.9549
321,30.9462
322,30.9376
323,30.9289
324,30.9204
325,30.9118
326,30.9033
327,30.8949
328,30.8865
329,30.8781
330,30.8698
331,30.8615
332,30.8532
333,30.845
334,30.8368
335,30.8287
336,30.8206
337,30.8126
338,30.8045
339,30.7966
340,30.7886
341,30.7807
342,30.7728
343,30.765
344,30.7572
345,30.7495
346,30.7417
347,30.7341
348,30.7264
349,30.7188
350,30.7112
351,30.7037
352,30.6961
353,30.6887
354,30.6812
355,30.6738
356,30.6664
357,30.6591
358,30.6518
359,30.6445
360,30.6373
361,30.63
362,30.6229
363,30.6157
364,30.6086
365,30.6015
366,30.5944
367,30.5874
368,30.5804
369,30.5735
370,30.5665
371,30.5596
372,30.5527
373,30.5459
374,30.5391
375,30.5323
376,30.5255
377,30.5188
378,30.5121
379,30.5054
380,30.4988
381,30.4922
382,30.4856
383,30.479
384,30.4725
385,30.466
386,30.4595
387,30.453
388,30.4466
389,30.4402
390,30.4338
391,30.4275
392,30.4212
393,30.4149
394,30.4086
395,30.4023
396,30.3961
397,30.3899
398,30.3838
399,30.3776
400,30.3715
401,30.3654
402,30.3593
403,30.3533
404,30.3472
405,30.3412
406,30.3353
407,30.3293
408,30.3234
409,30.3175
410,30.3116
411,30.3057
412,30.2999
413,30.2941
414,30.2883
415,30.2825
416,30.2768
417,30.2711
418,30.2653
419,30.2597
420,30.254
421,30.2484
422,30.2428
423,30.2372
424,30.2316
425,30.226
426,30.2205
427,30.215
428,30.2095
429,30.204
430,30.1986
431,30.1931
432,30.1877
433,30.1823
434,30.177
435,30.1716
436,30.1663
437,30.161
438,30.1557
439,30.1504
440,30.1452
441,30.1399
442,30.1347
443,30.1295
444,30.1243
445,30.1192
446,30.114
447,30.1089
448,30.1038
449,30.0987
450,30.0937
451,30.0886
452,30.0836
453,30.0786
454,30.0736
455,30.0686
456,30.0637
457,30.0587
458,30.0538
459,30.0489
460,30.044
461,30.0391
462,30.0343
463,30.0294
464,30.0246
465,30.0198
466,30.015
467,30.0102
468,30.0055
469,30.0007
470,29.996
471,29.9913
472,29.9866
473,29.982
474,29.9773
475,29.9727
476,29.968
477,29.9634
478,29.9588
479,29.9542
480,29.9497
481,29.9451
482,29.9406
483,29.9361
484,29.9316
485,29.9271
486,29.9226
487,29.9181
488,29.9137
489,29.9093
490,29.9049
491,29.9005
492,29.8961
493,29.8917
494,29.8873
495,29.883
496,29.8787
497,29.8744
498,29.8701
499,29.8658
500,29.8615
501,29.8572
502,29.853
503,29.8488
504,29.8445
505,29.8403
506,29.8361
507,29.832
508,29.8278
509,29.8236
510,29.8195
511,29.8154
512,29.8113
513,29.8072
514,29.8031
515,29.799
516,29.7949
517,29.7909
518,29.7869
519,29.7828
520,29.7788
521,29.7748
522,29.7709
523,29.7669
524,29.7629
525,29.759
526,29.755
527,29.7511
528,29.7472
529,29.7433
530,29.7394
531,29.7355
532,29.7317
533,29.7278
534,29.724
535,29.7202
536,29.7163
537,29.7125
538,29.7087
539,29.705
540,29.7012
541,29.6974
542,29.6937
543,29.6899
544,29.6862
545,29.6825
546,29.6788
547,29.6751
548,29.6714
549,29.6677
550,29.6641
551,29.6604
552,29.6568
553,29.6532
554,29.6495
555,29.6459
556,29.6423
557,29.6388
558,29.6352
559,29.6316
560,29.6281
561,29.6245
562,29.621
563,29.6175
564,29.6139
565,29.6104
566,29.607
567,29.6035
568,29.6
569,29.5965
570,29.5931
571,29.5896
572,29.5862
573,29.5828
574,29.5794
575,29.576
576,29.5726
577,29.5692
578,29.5658
579,29.5624
580,29.5591
581,29.5557
582,29.5524
583,29.5491
584,29.5457
585,29.5424
586,29.5391
587,29.5358
588,29.5326
589,29.5293
590,29.526
591,29.5228
592,29.5195
593,29.5163
594,29.5131
595,29.5098
596,29.5066
597,29.5034
598,29.5002
599,29.4971
600,29.4939
601,29.4907
602,29.4875
603,29.4844
604,29.4813
605,29.4781
606,29.475
607,29.4719
608,29.4688
609,29.4657
610,29.4626
611,29.4595
612,29.4564
613,29.4534
614,29.4503
615,29.4473
616,29.4442
617,29.4412
618,29.4382
619,29.4351
620,29.4321
621,29.4291
622,29.4261
623,29.4231
624,29.4202
625,29.4172
626,29.4142
627,29.4113
628,29.4083
629,29.4054
630,29.4025
631,29.3995
632,29.3966
633,29.3937
634,29.3908
635,29.3879
636,29.385
637,29.3822
638,29.3793
639,29.3764
640,29.3736
641,29.3707
642,29.3679
643,29.365
644,29.3622
645,29.3594
646,29.3566
647,29.3538
648,29.351
649,29.3482
650,29.3454
651,29.3426
652,29.3398
653,29.3371
654,29.3343
655,29.3316
656,29.3288
657,29.3261
658,29.3234
659,29.3206
660,29.3179
661,29.3152
662,29.3125
663,29.3098
664,29.3071
665,29.3045
666,29.3018
667,29.2991
668,29.2964
669,29.2938
670,29.2911
671,29.2885
672,29.2859
673,29.2832
674,29.2806
675,29.278
676,29.2754
677,29.2728
678,29.2702
679,29.2676
680,29.265
681,29.2624
682,29.2598
683,29.2573
684,29.2547
685,29.2522
686,29.2496
687,29.2471
688,29.2445
689,29.242
690,29.2395
691,29.237
692,29.2344
693,29.2319
694,29.2294
695,29.2269
696,29.2245
697,29.222
698,29.2195
699,29.217
700,29.2146
701,29.2121
702,29.2097
703,29.2072
704,29.2048
705,29.2023
706,29.1999
707,29.1975
708,29.1951
709,29.1926
710,29.1902
711,29.1878
712,29.1854
713,29.183
714,29.1807
715,29.1783
716,29.1759
717,29.1735
718,29.1712
719,29.1688
720,29.1665
721,29.1641
722,29.1618
723,29.1594
724,29.1571
725,29.1548
726,29.1525
727,29.1501
728,29.1478
729,29.1455
730,29.1432
731,29.1409
732,29.1386
733,29.1364
734,29.1341
735,29.1318
736,29.1295
737,29.1273
738,29.125
739,29.1228
740,29.1205
741,29.1183
742,29.116
743,29.1138
744,29.1116
745,29.1093
746,29.1071
747,29.1049
748,29.1027
749,29.1005
750,29.0983
751,29.0961
752,29.0939
753,29.0917
754,29.0895
755,29.0874
756,29.0852
757,29.083
758,29.0809
759,29.0787
760,29.0766
761,29.0744
762,29.0723
763,29.0701
764,29.068
765,29.0659
766,29.0637
767,29.0616
768,29.0595
769,29.0574
770,29.0553
771,29.0532
772,29.0511
773,29.049
774,29.0469
775,29.0448
776,29.0428
777,29.0407
778,29.0386
779,29.0365
780,29.0345
781,29.0324
782,29.0304
783,29.0283
784,29.0263
785,29.0242
786,29.0222
787,29.0202
788,29.0181
789,29.0161
790,29.0141
791,29.0121
792,29.0101
793,29.0081
794,29.0061
795,29.0041
796,29.0021
797,29.0001
798,28.9981
799,28.9961
800,28.9942
801,28.9922
802,28.9902
803,28.9883
804,28.9863
805,28.9843
806,28.9824
807,28.9804
808,28.9785
809,28.9765
810,28.9746
811,28.9727
812,28.9708
813,28.9688
814,28.9669
815,28.965
816,28.9631
817,28.9612
818,28.9593
819,28.9574
820,28.9555
821,28.9536
822,28.9517
823,28.9498
824,28.9479
825,28.946
826,28.9442
827,28.9423
828,28.9404
829,28.9386
830,28.9367
831,28.9348
832,28.933
833,28.9311
834,28.9293
835,28.9275
836,28.9256
837,28.9238
838,28.922
839,28.9201
840,28.9183
841,28.9165
842,28.9147
843,28.9129
844,28.9111
845,28.9092
846,28.9074
847,28.9056
848,28.9039
849,28.9021
850,28.9003
851,28.8985
852,28.8967
853,28.8949
854,28.8932
855,28.8914
856,28.8896
857,28.8879
858,28.8861
859,28.8843
860,28.8826
861,28.8808
862,28.8791
863,28.8774
864,28.8756
865,28.8739
866,28.8721
867,28.8704
868,28.8687
869,28.867
870,28.8652
871,28.8635
872,28.8618
873,28.8601
874,28.8584
875,28.8567
876,28.855
877,28.8533
878,28.8516
879,28.8499
880,28.8482
881,28.8465
882,28.8449
883,28.8432
884,28.8415
885,28.8398
886,28.8382
887,28.8365
888,28.8348
889,28.8332
890,28.8315
891,28.8299
892,28.8282
893,28.8266
894,28.8249
895,28.8233
896,28.8217
897,28.82
898,28.8184
899,28.8168
900,28.8151
901,28.8135
902,28.8119
903,28.8103
904,28.8087
905,28.807
906,28.8054
907,28.8038
908,28.8022
909,28.8006
910,28.799
911,28.7974
912,28.7959
913,28.7943
914,28.7927
915,28.7911
916,28.7895
917,28.7879
918,28.7864
919,28.7848
920,28.7832
921,28.7817
922,28.7801
923,28.7786
924,28.777
925,28.7754
926,28.7739
927,28.7723
928,28.7708
929,28.7693
930,28.7677
931,28.7662
932,28.7646
933,28.7631
934,28.7616
935,28.7601
936,28.7585
937,28.757
938,28.7555
939,28.754
940,28.7525
941,28.751
942,28.7495
943,28.748
944,28.7465
945,28.745
946,28.7435
947,28.742
948,28.7405
949,28.739
950,28.7375
951,28.736
952,28.7345
953,28.7331
954,28.7316
955,28.7301
956,28.7286
957,28.7272
958,28.7257
959,28.7242
960,28.7228
961,28.7213
962,28.7199
963,28.7184
964,28.717
965,28.7155
966,28.7141
967,28.7126
968,28.7112
969,28.7098
970,28.7083
971,28.7069
972,28.7055
973,28.704
974,28.7026
975,28.7012
976,28.6998
977,28.6983
978,28.6969
979,28.6955
980,28.6941
981,28.6927
982,28.6913
983,28.6899
984,28.6885
985,28.6871
986,28.6857
987,28.6843
988,28.6829
989,28.6815
990,28.6801
991,28.6787
992,28.6773
993,28.676
994,28.6746
995,28.6732
996,28.6718
997,28.6705
998,28.6691
999,28.6677
1000,28.6664
1001,28.665
1002,28.6636
1003,28.6623
1004,28.6609
1005,28.6596
1006,28.6582
1007,28.6569
1008,28.6555
1009,28.6542
1010,28.6528
1011,28.6515
1012,28.6502
1013,28.6488
1014,28.6475
1015,28.6462
1016,28.6448
1017,28.6435
1018,28.6422
1019,28.6409
1020,28.6395
1021,28.6382
1022,28.6369
1023,28.6356
1024,28.6343
1025,28.633
1026,28.6317
1027,28.6304
1028,28.6291
1029,28.6278
1030,28.6265
1031,28.6252
1032,28.6239
1033,28.6226
1034,28.6213
1035,28.62
1036,28.6187
1037,28.6174
1038,28.6161
1039,28.6149
1040,28.6136
1041,28.6123
1042,28.611
1043,28.6098
1044,28.6085
1045,28.6072
1046,28.606
1047,28.6047
1048,28.6034
1049,28.6022
1050,28.6009
1051,28.5997
1052,28.5984
1053,28.5972
1054,28.5959
1055,28.5947
1056,28.5934
1057,28.5922
1058,28.5909
1059,28.5897
1060,28.5884
1061,28.5872
1062,28.586
1063,28.5847
1064,28.5835
1065,28.5823
1066,28.5811
1067,28.5798
1068,28.5786
1069,28.5774
1070,28.5762
1071,28.5749
1072,28.5737
1073,28.5725
1074,28.5713
1075,28.5701
1076,28.5689
1077,28.5677
1078,28.5665
1079,28.5653
1080,28.5641
1081,28.5629
1082,28.5617
1083,28.5605
1084,28.5593
1085,28.5581
1086,28.5569
1087,28.5557
1088,28.5545
1089,28.5533
1090,28.5522
1091,28.551
1092,28.5498
1093,28.5486
1094,28.5475
1095,28.5463
1096,28.5451
1097,28.5439
1098,28.5428
1099,28.5416
1100,28.5404
1101,28.5393
1102,28.5381
1103,28.537
1104,28.5358
1105,28.5346
1106,28.5335
1107,28.5323
1108,28.5312
1109,28.53
1110,28.5289
1111,28.5277
1112,28.5266
1113,28.5255
1114,28.5243
1115,28.5232
1116,28.522
1117,28.5209
1118,28.5198
1119,28.5186
1120,28.5175
1121,28.5164
1122,28.5153
1123,28.5141
1124,28.513
1125,28.5119
1126,28.5108
1127,28.5096
1128,28.5085
1129,28.5074
1130,28.5063
1131,28.5052
1132,28.5041
1133,28.503
1134,28.5019
1135,28.5008
1136,28.4997
1137,28.4986
1138,28.4975
1139,28.4964
1140,28.4953
1141,28.4942
1142,28.4931
1143,28.492
1144,28.4909
1145,28.4898
1146,28.4887
1147,28.4876
1148,28.4865
1149,28.4854
1150,28.4844
1151,28.4833
1152,28.4822
1153,28.4811
1154,28.4801
1155,28.479
1156,28.4779
1157,28.4768
1158,28.4758
1159,28.4747
1160,28.4736
1161,28.4726
1162,28.4715
1163,28.4704
1164,28.4694
1165,28.4683
1166,28.4673
1167,28.4662
1168,28.4652
1169,28.4641
1170,28.4631
1171,28.462
1172,28.461
1173,28.4599
1174,28.4589
1175,28.4578
1176,28.4568
1177,28.4557
1178,28.4547
1179,28.4537
1180,28.4526
1181,28.4516
1182,28.4506
1183,28.4495
1184,28.4485
1185,28.4475
1186,28.4464
1187,28.4454
1188,28.4444
1189,28.4434
1190,28.4423
1191,28.4413
1192,28.4403
1193,28.4393
1194,28.4383
1195,28.4372
1196,28.4362
1197,28.4352
1198,28.4342
1199,28.4332
1200,28.4322
1201,28.4312
1202,28.4302
1203,28.4292
1204,28.4282
1205,28.4272
1206,28.4262
1207,28.4252
1208,28.4242
1209,28.4232
1210,28.4222
1211,28.4212
1212,28.4202
1213,28.4192
1214,28.4182
1215,28.4172
1216,28.4162
1217,28.4153
1218,28.4143
1219,28.4133
1220,28.4123
1221,28.4113
1222,28.4104
1223,28.4094
1224,28.4084
1225,28.4074
1226,28.4065
1227,28.4055
1228,28.4045
1229,28.4035
1230,28.4026
1231,28.4016
1232,28.4006
1233,28.3997
1234,28.3987
1235,28.3978
1236,28.3968
1237,28.3958
1238,28.3949
1239,28.3939
1240,28.393
1241,28.392
1242,28.3911
1243,28.3901
1244,28.3892
1245,28.3882
1246,28.3873
1247,28.3863
1248,28.3854
1249,28.3844
1250,28.3835
1251,28.3826
1252,28.3816
1253,28.3807
1254,28.3797
1255,28.3788
1256,28.3779
1257,28.3769
1258,28.376
1259,28.3751
1260,28.3741
1261,28.3732
1262,28.3723
1263,28.3714
1264,28.3704
1265,28.3695
1266,28.3686
1267,28.3677
1268,28.3667
1269,28.3658
1270,28.3649
1271,28.364
1272,28.3631
1273,28.3622
1274,28.3612
1275,28.3603
1276,28.3594
1277,28.3585
1278,28.3576
1279,28.3567
1280,28.3558
1281,28.3549
1282,28.354
1283,28.3531
1284,28.3522
1285,28.3513
1286,28.3504
1287,28.3495
1288,28.3486
1289,28.3477
1290,28.3468
1291,28.3459
1292,28.345
1293,28.3441
1294,28.3432
1295,28.3423
1296,28.3415
1297,28.3406
1298,28.3397
1299,28.3388
1300,28.3379
1301,28.337
1302,28.3362
1303,28.3353
1304,28.3344
1305,28.3335
1306,28.3326
1307,28.3318
1308,28.3309
1309,28.33
1310,28.3291
1311,28.3283
1312,28.3274
1313,28.3265
1314,28.3257
1315,28.3248
1316,28.3239
1317,28.3231
1318,28.3222
1319,28.3213
1320,28.3205
1321,28.3196
1322,28.3188
1323,28.3179
1324,28.317
1325,28.3162
1326,28.3153
1327,28.3145
1328,28.3136
1329,28.3128
1330,28.3119
1331,28.3111
1332,28.3102
1333,28.3094
1334,28.3085
1335,28.3077
1336,28.3068
1337,28.306
1338,28.3052
1339,28.3043
1340,28.3035
1341,28.3026
1342,28.3018
1343,28.301
1344,28.3001
1345,28.2993
1346,28.2985
1347,28.2976
1348,28.2968
1349,28.296
1350,28.2951
1351,28.2943
1352,28.2935
1353,28.2926
1354,28.2918
1355,28.291
1356,28.2902
1357,28.2894
1358,28.2885
1359,28.2877
1360,28.2869
1361,28.2861
1362,28.2853
1363,28.2844
1364,28.2836
1365,28.2828
1366,28.282
1367,28.2812
1368,28.2804
1369,28.2796
1370,28.2787
1371,28.2779
1372,28.2771
1373,28.2763
1374,28.2755
1375,28.2747
1376,28.2739
1377,28.2731
1378,28.2723
1379,28.2715
1380,28.2707
1381,28.2699
1382,28.2691
1383,28.2683
1384,28.2675
1385,28.2667
1386,28.2659
1387,28.2651
1388,28.2643
1389,28.2635
1390,28.2627
1391,28.2619
1392,28.2612
1393,28.2604
1394,28.2596
1395,28.2588
1396,28.258
1397,28.2572
1398,28.2564
1399,28.2557
1400,28.2549
1401,28.2541
1402,28.2533
1403,28.2525
1404,28.2518
1405,28.251
1406,28.2502
1407,28.2494
1408,28.2487
1409,28.2479
1410,28.2471
1411,28.2463
1412,28.2456
1413,28.2448
1414,28.244
1415,28.2433
1416,28.2425
1417,28.2417
1418,28.241
1419,28.2402
1420,28.2394
1421,28.2387
1422,28.2379
1423,28.2371
1424,28.2364
1425,28.2356
1426,28.2349
1427,28.2341
1428,28.2334
1429,28.2326
1430,28.2318
1431,28.2311
1432,28.2303
1433,28.2296
1434,28.2288
1435,28.2281
1436,28.2273
1437,28.2266
1438,28.2258
1439,28.2251
1440,28.2243
1441,28.2236
1442,28.2228
1443,28.2221
1444,28.2214
1445,28.2206
1446,28.2199
1447,28.2191
1448,28.2184
1449,28.2177
1450,28.2169
1451,28.2162
1452,28.2154
1453,28.2147
1454,28.214
1455,28.2132
1456,28.2125
1457,28.2118
1458,28.211
1459,28.2103
1460,28.2096
1461,28.2088
1462,28.2081
1463,28.2074
1464,28.2067
1465,28.2059
1466,28.2052
1467,28.2045
1468,28.2038
1469,28.203
1470,28.2023
1471,28.2016
1472,28.2009
1473,28.2002
1474,28.1994
1475,28.1987
1476,28.198
1477,28.1973
1478,28.1966
1479,28.1959
1480,28.1951
1481,28.1944
1482,28.1937
1483,28.193
1484,28.1923
1485,28.1916
1486,28.1909
1487,28.1902
1488,28.1895
1489,28.1888
1490,28.188
1491,28.1873
1492,28.1866
1493,28.1859
1494,28.1852
1495,28.1845
1496,28.1838
1497,28.1831
1498,28.1824
1499,28.1817
1500,28.181
1501,28.1803
1502,28.1796
1503,28.1789
1504,28.1782
1505,28.1775
1506,28.1769
1507,28.1762
1508,28.1755
1509,28.1748
1510,28.1741
1511,28.1734
1512,28.1727
1513,28.172
1514,28.1713
1515,28.1706
1516,28.17
1517,28.1693
1518,28.1686
1519,28.1679
1520,28.1672
1521,28.1665
1522,28.1659
1523,28.1652
1524,28.1645
1525,28.1638
1526,28.1631
1527,28.1624
1528,28.1618
1529,28.1611
1530,28.1604
1531,28.1597
1532,28.1591
1533,28.1584
1534,28.1577
1535,28.157
1536,28.1564
1537,28.1557
1538,28.155
1539,28.1544
1540,28.1537
1541,28.153
1542,28.1524
1543,28.1517
1544,28.151
1545,28.1504
1546,28.1497
1547,28.149
1548,28.1484
1549,28.1477
1550,28.147
1551,28.1464
1552,28.1457
1553,28.1451
1554,28.1444
1555,28.1437
1556,28.1431
1557,28.1424
1558,28.1418
1559,28.1411
1560,28.1405
1561,28.1398
1562,28.1391
1563,28.1385
1564,28.1378
1565,28.1372
1566,28.1365
1567,28.1359
